DeEmphasis                                Comment                                (flexwikiDeEmphasis)
DelText                                   Comment                                (flexwikiDelText)
Comment                                   Comment                                (focexecComment)
Comment                                   Comment                                (formComment)
Comment                                   Comment                                (forthComment)
Comment                                   Comment                                (fortranComment)
Comment                                   Comment                                (foxproComment)
Comment                                   Comment                                (framescriptComment)
Comment                                   Comment                                (freebasicComment)
Comment                                   Comment                                (fsComment)
CommentLine                               Comment                                (fsCommentLine)
Comment                                   Comment                                (fvwmComment)
BlockComment                              Comment                                (gBlockComment)
Comment                                   Comment                                (gComment)
CommentStart                              Comment                                (gCommentStart)
Comment                                   Comment                                (gdbComment)
Comment                                   Comment                                (gdmoComment)
_id                                       Comment                                (gedcom_id)
Comment                                   Comment                                (gitcommitComment)
OnBranch                                  Comment                                (gitcommitOnBranch)
Comment                                   Comment                                (gitconfigComment)
Comment                                   Comment                                (gitrebaseComment)
Comment                                   Comment                                (gitsendemailComment)
Comment                                   Comment                                (gkrellmrcComment)
Comment                                   Comment                                (gmComment)
EndComment                                Comment                                (gmEndComment)
Comment                                   Comment                                (gnuplotComment)
Comment                                   Comment                                (goComment)
Comment                                   Comment                                (gpComment)
Comment                                   Comment                                (gpgComment)
Comment                                   Comment                                (gradsComment)
Comment                                   Comment                                (grubComment)
Comment                                   Comment                                (gtkrcComment)
Comment                                   Comment                                (hamlComment)
HashComment                               Comment                                (hamsterHashComment)
Comment                                   Comment                                (hasteComment)
Comment                                   Comment                                (helpComment)
Example                                   Comment                                (helpExample)
Comment                                   Comment                                (herculesComment)
Adress                                    Comment                                (hexAdress)
Comment                                   Comment                                (hogComment)
LineComment                               Comment                                (hogLineComment)
Comment                                   Comment                                (hostconfComment)
Comment                                   Comment                                (hsComment)
Comment                                   Comment                                (htmlComment)
CommentPart                               Comment                                (htmlCommentPart)
Comment                                   Comment                                (htmlosComment)
Comment                                   Comment                                (ia64Comment)
Comment                                   Comment                                (ibasicComment)
LineNumber                                Comment                                (ibasicLineNumber)
Comment                                   Comment                                (iconComment)
Comment                                   Comment                                (idlComment)
Comment                                   Comment                                (idlangComment)
Comment                                   Comment                                (indentComment)
Comment                                   Comment                                (informComment)
Comment                                   Comment                                (initexComment)
Comment                                   Comment                                (initngComment)
SubstMacro                                Comment                                (initngSubstMacro)
Comment                                   Comment                                (inittabComment)
Comment                                   Comment                                (ishdComment)
HashIf0                                   Comment                                (ishdHashIf0)
Comment                                   Comment                                (issComment)
Comment                                   Comment                                (jalComment)
Comment                                   Comment                                (jamComment)
CppOut                                    Comment                                (jamCppOut)
EmailAddr                                 Comment                                (jargonEmailAddr)
Url                                       Comment                                (jargonUrl)
ScriptComment                             Comment                                (javaScriptComment)
ScriptLineComment                         Comment                                (javaScriptLineComment)
Comment                                   Comment                                (jessComment)
Comment                                   Comment                                (jgraphComment)
Comment                                   Comment                                (jovialComment)
Comment                                   Comment                                (jpropertiesComment)
Comment                                   Comment                                (kconfigComment)
Comment                                   Comment                                (kixComment)
Comment                                   Comment                                (kscriptComment)
Comment                                   Comment                                (laceComment)
Comment                                   Comment                                (latteComment)
Comment                                   Comment                                (ldComment)
Comment                                   Comment                                (ldapconfComment)
Comment                                   Comment                                (ldifComment)
PatComment                                Comment                                (lexPatComment)
Comment                                   Comment                                (lftpComment)
BirdTrack                                 Comment                                (lhsBirdTrack)
Comment                                   Comment                                (libaoComment)
Comment                                   Comment                                (lifelinesComment)
Comment                                   Comment                                (liloComment)
Comment                                   Comment                                (limitsComment)
Comment                                   Comment                                (liquidComment)
Comment                                   Comment                                (lispComment)
Comment                                   Comment                                (liteComment)
Comment                                   Comment                                (litestepComment)
Comment                                   Comment                                (loginaccessComment)
Comment                                   Comment                                (logindefsComment)
BlockComment                              Comment                                (logtalkBlockComment)
LineComment                               Comment                                (logtalkLineComment)
Comment                                   Comment                                (lotosComment)
Comment                                   Comment                                (loutComment)
Comment                                   Comment                                (lpcComment)
Comment                                   Comment                                (lprologComment)
Comment                                   Comment                                (lscriptComment)
LineNumber                                Comment                                (lscriptLineNumber)
Comment                                   Comment                                (lslComment)
Comment                                   Comment                                (lssComment)
Comment                                   Comment                                (luaComment)
Comment                                   Comment                                (lynxComment)
Comment                                   Comment                                (m4Comment)
Quoted1                                   Comment                                (mailQuoted1)
Comment                                   Comment                                (mailaliasesComment)
Comment                                   Comment                                (mailcapComment)
Comment                                   Comment                                (makeComment)
